Sigma Delta;;;;;Sigma Delta Optimise
Taille (pixels);Temps (ms);Cycle par point (cpp);Debit (pixel/seconde);;Temps (ms);Cycle par point (cpp);Debit (pixel/seconde)
48;0.001868;1.458984;41124497991.967865;;0.000808;0.631510;95010309278.350510
64;0.003175;1.395264;24188976377.952755;;0.001453;0.638489;52859191281.904221
80;0.004925;1.385156;15593908629.441624;;0.002131;0.599297;36042236996.480247
96;0.007022;1.371419;10937574175.172087;;0.003003;0.586589;25571587125.416203
112;0.008379;1.202348;9165741185.831026;;0.003048;0.437380;25196391141.893738
128;0.008869;0.974335;8659755066.244869;;0.005234;0.575043;14672822798.917370
144;0.011106;0.964048;6915284760.261123;;0.005294;0.459563;14506532346.922714
160;0.013783;0.969141;5571946795.646917;;0.006060;0.426074;12673848269.539307
176;0.017399;1.011073;4413934033.653693;;0.007961;0.462584;9647567869.355852
192;0.021235;1.036865;3616670591.005416;;0.012338;0.602431;6224783861.671470
208;0.024863;1.034417;3088954930.395728;;0.014475;0.602221;5305801301.118809
224;0.031448;1.128159;2442122371.105792;;0.019351;0.694196;3968764354.616445
240;0.031277;0.977396;2455504636.043910;;0.021180;0.661866;3626109879.732973
256;0.035502;0.975082;2163278719.308953;;0.023564;0.647194;3259262752.124863
272;0.040386;0.982577;1901643854.460417;;0.027371;0.665928;2805878054.721117
288;0.055291;1.199900;1389004717.431386;;0.040762;0.884591;1884110315.313167
304;0.089369;1.740662;859354116.806018;;0.045029;0.877029;1705582253.258730
320;0.066900;1.175981;1147977296.224480;;0.037893;0.666094;2026741731.175229
336;0.067756;1.080286;1133486388.979993;;0.041541;0.662331;1848758600.859919
352;0.106119;1.541633;723714691.816590;;0.052373;0.760835;1466418444.794501
368;0.104886;1.394103;732222781.323658;;0.054167;0.719961;1417846153.846154
384;0.091169;1.112898;842395195.714899;;0.054251;0.662245;1415639208.618359
400;0.105770;1.189912;726103810.154108;;0.058699;0.660362;1308372295.519506
416;0.106991;1.112842;717816641.050139;;0.063651;0.662052;1206577523.304123
432;0.121359;1.170519;632830846.841568;;0.073728;0.711109;1041669806.344661
448;0.124025;1.112310;619229993.952832;;0.074190;0.665368;1035179943.388597
464;0.132050;1.104015;581597879.591064;;0.079210;0.662242;969574548.668097
480;0.149698;1.169518;513031763.880693;;0.087975;0.687305;872975277.067349
496;0.160053;1.171042;479841718.877454;;0.091109;0.666609;842944818.944307
512;0.163299;1.121288;470301661.229031;;0.097444;0.669096;788143637.809686
528;0.178878;1.154944;429343437.480589;;0.102741;0.663359;747509922.458823
544;0.182250;1.108518;421398534.676826;;0.108694;0.661121;706569656.451972
560;0.202011;1.159499;380178153.506830;;0.115501;0.662950;664931866.609588
576;0.227599;1.234801;337436154.048001;;0.122897;0.666757;624915240.445903
592;0.222900;1.144825;344549125.168237;;0.131172;0.673708;585488574.205721
608;0.232022;1.129784;331002381.234579;;0.136899;0.666600;560997979.043739
624;0.261671;1.209648;293498199.605951;;0.145877;0.674360;526469126.493119
640;0.257458;1.131406;298301339.593979;;0.167014;0.733948;459841995.841996
656;0.322597;1.349353;238067765.962027;;0.197492;0.826065;388876620.846701
672;0.319829;1.274827;240128610.549226;;0.211678;0.843741;362815600.230959
688;0.442213;1.681617;173671941.692259;;0.219610;0.835119;349710408.716451
704;0.336344;1.221549;228337729.737587;;0.234868;0.853002;326992878.963671
720;0.352200;1.222917;218057921.635434;;0.242683;0.842649;316462505.923370
736;0.352868;1.172545;217644919.493107;;0.234141;0.778026;328007716.153739
752;0.355038;1.130087;216314839.489038;;0.233616;0.743599;328745231.957537
768;0.371261;1.132998;206862650.472601;;0.253092;0.772375;303447034.509856
784;0.406666;1.190908;188852846.009930;;0.254844;0.746304;301360306.941053
800;0.406406;1.143018;188973407.160184;;0.298314;0.839007;257447186.918316
816;0.429159;1.160140;178954583.672336;;0.385160;1.041199;199397509.117777
832;0.445849;1.159348;172255564.755644;;0.325691;0.846898;235806653.554925
848;0.460366;1.152350;166823647.107165;;0.327012;0.818548;234853806.733189
864;0.501633;1.209570;153099958.524353;;0.372096;0.8972
